ecotype,numcode,replicate,treatment,climate,Bdhn1a,Bdhn2,Bdhn3,Bdhn7,treatment,leafrwc,leafwc,lma,pro,abvrgd,blwgrd,ttlmass,rmr,delta13c,leafc,leafn,cn
ABR2,10,1,Watered,Mesic,199.6,27.2,5.3,1,Watered,99.153,308.91,28.068,20.0352,98.05,45.15,143.2,31.0668,-31.559,397.29,41.3905,9.6409
ABR2,10,1,Drought,Mesic,309.6,207.4,131.8,21,Drought,95.5672,275.21,32.1891,40.0867,88.4,64.925,153.32,41.368,-30.9942,402.01,35.3526,11.415
ABR2,10,2,Watered,Mesic,143.6,67.5,39.1,3.6,Watered,99.153,308.91,28.068,20.0352,98.05,45.15,143.2,31.0668,-31.559,397.29,41.3905,9.6409
ABR2,10,2,Drought,Mesic,150.4,142.4,278.7,19,Drought,95.5672,275.21,32.1891,40.0867,88.4,64.925,153.32,41.368,-30.9942,402.01,35.3526,11.415
ABR2,10,3,Watered,Mesic,132.7,36.5,0,1.7,Watered,99.0252,345.9,26.0716,14.9916,67.6,34.725,102.32,35.8975,-31.0204,391.14,37.0268,10.8998
ABR2,10,3,Drought,Mesic,181.8,183.1,227.7,26.6,Drought,96.27,275.61,29.9968,38.994,76.375,44.475,120.85,36.4106,-31.0081,392.34,34.9823,11.23
ABR2,10,4,Watered,Mesic,163.6,53,30.2,2.9,Watered,99.0252,345.9,26.0716,14.9916,67.6,34.725,102.32,35.8975,-31.0204,391.14,37.0268,10.8998
ABR2,10,4,Drought,Mesic,214.9,135.5,51.5,11,Drought,96.27,275.61,29.9968,38.994,76.375,44.475,120.85,36.4106,-31.0081,392.34,34.9823,11.23
ABR3,11,1,Watered,Cold,248.9,29.4,8.5,3.8,Watered,99.1544,334.96,24.1441,5.3975,138.53,68.175,206.7,33.0524,-30.9512,392.31,37.6329,10.5542
ABR3,11,1,Drought,Cold,304.9,182.2,32.1,10.7,Drought,94.1465,296.47,26.5479,20.5059,101.18,62.475,163.65,38.0076,-30.9528,400.56,32.8802,12.1867
ABR3,11,2,Watered,Cold,132.4,13.2,3.3,0,Watered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABR3,11,2,Drought,Cold,197.7,326,738.2,75.7,Drought,94.1465,296.47,26.5479,20.5059,101.18,62.475,163.65,38.0076,-30.9528,400.56,32.8802,12.1867
ABR3,11,3,Watered,Cold,193.5,46.6,26.9,1.8,Watered,99.2622,344.45,22.9499,11.1867,100.68,44.675,145.35,30.4608,-31.7756,388.03,43.64,8.9042
ABR3,11,3,Drought,Cold,328.3,116.6,43.9,9.4,Drought,97.6832,354.52,23.1046,16.4585,87.375,52.4,139.78,37.0066,-30.3755,401.97,34.0628,11.8359
ABR3,11,4,Watered,Cold,205.1,69.4,10.1,1.3,Watered,99.2622,344.45,22.9499,11.1867,100.68,44.675,145.35,30.4608,-31.7756,388.03,43.64,8.9042
ABR3,11,4,Drought,Cold,224.2,51.4,65.3,22.3,Drought,97.6832,354.52,23.1046,16.4585,87.375,52.4,139.78,37.0066,-30.3755,401.97,34.0628,11.8359
ABR4,12,1,Watered,Cold,109.5,27.1,1.2,0,Watered,98.0294,348.33,27.9507,11.581,63.725,29.85,93.575,31.6254,-31.4833,405.79,42.1945,9.6571
ABR4,12,1,Drought,Cold,299.5,76.8,7.3,2.4,Drought,95.6684,299.6,30.4712,17.7323,59.125,33.625,92.75,36.419,-30.9893,406.96,34.8378,11.7046
ABR4,12,2,Watered,Cold,230.1,35.3,7.3,3.7,Watered,98.0294,348.33,27.9507,11.581,63.725,29.85,93.575,31.6254,-31.4833,405.79,42.1945,9.6571
ABR4,12,2,Drought,Cold,226.2,194.7,164.3,37.6,Drought,95.6684,299.6,30.4712,17.7323,59.125,33.625,92.75,36.419,-30.9893,406.96,34.8378,11.7046
ABR4,12,3,Watered,Cold,594.4,80.7,5.8,2.7,Watered,100.85,367.39,26.4197,5.9426,63.9332,28.836,92.6436,31.2371,-31.8883,389.73,42.6503,9.1625
ABR4,12,3,Drought,Cold,270.3,65.9,15.7,15.7,Drought,97.5747,326.08,27.4177,13.1446,48.725,30.75,79.475,39.3827,-30.98,397.56,36.1803,11.0352
ABR4,12,4,Watered,Cold,143.5,50.5,5.8,3.2,Watered,100.85,367.39,26.4197,5.9426,63.9332,28.836,92.6436,31.2371,-31.8883,389.73,42.6503,9.1625
ABR4,12,4,Drought,Cold,192.6,96.3,61.4,4.7,Drought,97.5747,326.08,27.4177,13.1446,48.725,30.75,79.475,39.3827,-30.98,397.56,36.1803,11.0352
ABR5,13,1,Watered,Cold,143.9,33.7,7.6,2.4,Watered,100.35,326.17,26.828,5.4634,103.47,47.075,150.55,31.0022,-32.0899,388.94,40.7959,9.5684
ABR5,13,1,Drought,Cold,335.1,298.2,62.4,17,Drought,93.9699,301.28,28.602,15.5567,88.5,59.475,147.97,39.6646,-31.2665,403.55,37.5765,10.8271
ABR5,13,2,Watered,Cold,418,55.8,3.9,0.4,Watered,100.04,369.42,22.095,8.7886,74.425,26.425,100.85,26.1643,-32.0318,390.46,44.5742,8.8093
ABR5,13,2,Drought,Cold,234.1,580.1,681.7,92.8,Drought,93.9699,301.28,28.602,15.5567,88.5,59.475,147.97,39.6646,-31.2665,403.55,37.5765,10.8271
