Sequence Name,Name,Minimum,Maximum,Length
ABR2,A,357,356,0
ABR3,A,357,356,0
ABR4,A,357,356,0
ABR5,A,357,356,0
ABR6,A,357,356,0
ABR7,A,357,356,0
ABR9,A,357,356,0
Adi_10,A,357,356,0
Adi_12,A,357,356,0
Adi_2,A,357,356,0
Arn1,A,351,350,0
Bd18_1,A,357,356,0
Bd2_3,A,357,356,0
Bd21.v3,A,357,356,0
Bd21_3,A,357,356,0
Bd29_1,A,357,356,0
BdTR10C,A,357,356,0
BdTR11A,A,357,356,0
BdTR11G,A,357,356,0
BdTR11I,A,357,356,0
BdTR12c_Bdhn1_c3relocatedBdhn2,A,357,356,0
BdTR13a,A,357,356,0
BdTR13C,A,357,356,0
BdTR1i,A,357,356,0
BdTR2B,A,357,356,0
BdTR2G,A,357,356,0
BdTR3C,A,357,356,0
BdTR5I,A,357,356,0
BdTR7a,A,357,356,0
BdTR9K,A,357,356,0
Bis1,A,357,356,0
Foz1,A,357,356,0
Jer1,A,357,356,0
Kah_1,A,357,356,0
Kah_5,A,357,356,0
Koz_1,A,357,356,0
Luc1,A,357,356,0
Mig3,A,357,356,0
Mon3,A,351,350,0
Mur1,A,357,356,0
Per1,A,357,356,0
RON2,A,357,356,0
S8iiC,A,357,356,0
Sig2,A,357,356,0
Tek_2,A,357,356,0
Tek_4_Bdhn1_relocatedfromBdhn2,A,357,356,0
Uni2,A,357,356,0
