Sequence Name,Name,Type,Minimum,Maximum,Length
ABR2,Bdhn4_E1,exon,1,76,76
ABR2,Bdhn4_E2,exon,187,435,249
ABR2,Segmento_K1,motif,214,258,45
ABR2,Segmento_K2,motif,382,426,45
ABR2,Segmento_phi,motif,190,210,21
ABR2,Segmento_S,motif,61,75,15
ABR3,Bdhn4_E1,exon,1,76,76
ABR3,Bdhn4_E2,exon,190,432,243
ABR3,Segmento_K1,motif,217,261,45
ABR3,Segmento_K2,motif,379,423,45
ABR3,Segmento_phi,motif,193,213,21
ABR3,Segmento_S,motif,61,75,15
ABR4,Bdhn4_E1,exon,1,76,76
ABR4,Bdhn4_E2,exon,187,435,249
ABR4,Segmento_K1,motif,214,258,45
ABR4,Segmento_K2,motif,382,426,45
ABR4,Segmento_phi,motif,190,210,21
ABR4,Segmento_S,motif,61,75,15
ABR5,Bdhn4_E1,exon,1,76,76
ABR5,Bdhn4_E2,exon,187,435,249
ABR5,Segmento_K1,motif,214,258,45
ABR5,Segmento_K2,motif,382,426,45
ABR5,Segmento_phi,motif,190,210,21
ABR5,Segmento_S,motif,61,75,15
ABR6,Bdhn4_E1,exon,1,76,76
ABR6,Bdhn4_E2,exon,187,435,249
ABR6,Segmento_K1,motif,214,258,45
ABR6,Segmento_K2,motif,382,426,45
ABR6,Segmento_phi,motif,190,210,21
ABR6,Segmento_S,motif,61,75,15
ABR6 2,Bdhn4_E1,exon,1,76,76
ABR6 2,Bdhn4_E2,exon,187,435,249
ABR6 2,Segmento_K1,motif,214,258,45
ABR6 2,Segmento_K2,motif,382,426,45
ABR6 2,Segmento_phi,motif,190,210,21
ABR6 2,Segmento_S,motif,61,75,15
ABR7,Bdhn4_E1,exon,1,76,76
ABR7,Bdhn4_E2,exon,187,435,249
ABR7,Segmento_K1,motif,214,258,45
ABR7,Segmento_K2,motif,382,426,45
ABR7,Segmento_phi,motif,190,210,21
ABR7,Segmento_S,motif,61,75,15
ABR8,Bdhn4_E1,exon,1,76,76
ABR8,Bdhn4_E2,exon,190,432,243
ABR8,Segmento_K1,motif,217,261,45
ABR8,Segmento_K2,motif,379,423,45
ABR8,Segmento_phi,motif,193,213,21
ABR8,Segmento_S,motif,61,75,15
ABR9,Bdhn4_E1,exon,1,76,76
ABR9,Bdhn4_E2,exon,190,432,243
ABR9,Segmento_K1,motif,217,261,45
ABR9,Segmento_K2,motif,379,423,45
ABR9,Segmento_phi,motif,193,213,21
ABR9,Segmento_S,motif,61,75,15
Adi_2,Bdhn4_E1,exon,1,76,76
Adi_2,Bdhn4_E2,exon,187,435,249
Adi_2,Segmento_K1,motif,214,258,45
Adi_2,Segmento_K2,motif,382,426,45
Adi_2,Segmento_phi,motif,190,210,21
Adi_2,Segmento_S,motif,61,75,15
Adi_10,Bdhn4_E1,exon,1,76,76
Adi_10,Bdhn4_E2,exon,187,435,249
