Sequence Name,Name,Type,Minimum,Maximum,Length
ABR2,Bdhn10_E1,exon,1,303,303
ABR2,NLS_segment,motif,127,165,39
ABR2,Segmento_S*,motif,283,303,21
ABR3,Bdhn10_E1,exon,1,303,303
ABR3,NLS_segment,motif,127,165,39
ABR3,Segmento_S*,motif,283,303,21
ABR4,Bdhn10_E1,exon,1,303,303
ABR4,NLS_segment,motif,127,165,39
ABR4,Segmento_S*,motif,283,303,21
ABR5,Bdhn10_E1,exon,1,303,303
ABR5,NLS_segment,motif,127,165,39
ABR5,Segmento_S*,motif,283,303,21
ABR6,Bdhn10_E1,exon,1,303,303
ABR6,NLS_segment,motif,127,165,39
ABR6,Segmento_S*,motif,283,303,21
ABR7,Bdhn10_E1,exon,1,303,303
ABR7,NLS_segment,motif,127,165,39
ABR7,Segmento_S*,motif,283,303,21
ABR8,BdhnBsta10,exon,1,327,327
ABR8,NLS_segment,motif,145,183,39
ABR8,Segmento_S*,motif,301,321,21
ABR9,Bdhn10_E1,exon,1,303,303
ABR9,NLS_segment,motif,127,165,39
ABR9,Segmento_S*,motif,283,303,21
Adi_2,Bdhn10_E1,exon,1,303,303
Adi_2,NLS_segment,motif,127,165,39
Adi_2,Segmento_S*,motif,283,303,21
Adi_10,Bdhn10_E1,exon,1,303,303
Adi_10,NLS_segment,motif,127,165,39
Adi_10,Segmento_S*,motif,283,303,21
Adi_12,Bdhn10_E1,exon,1,303,303
Adi_12,NLS_segment,motif,127,165,39
Adi_12,Segmento_S*,motif,283,303,21
Arn1,Bdhn10_E1,exon,1,303,303
Arn1,NLS_segment,motif,127,165,39
Arn1,Segmento_S*,motif,283,303,21
Bd1_1,Bdhn10_E1,exon,1,303,303
Bd1_1,NLS_segment,motif,127,165,39
Bd1_1,Segmento_S*,motif,283,303,21
Bd2_3,Bdhn10_E1,exon,1,303,303
Bd2_3,NLS_segment,motif,127,165,39
Bd2_3,Segmento_S*,motif,283,303,21
Bd3_1,Bdhn10_E1,exon,1,303,303
Bd3_1,NLS_segment,motif,127,165,39
Bd3_1,Segmento_S*,motif,283,303,21
Bd18_1,Bdhn10_E1,exon,1,303,303
Bd18_1,NLS_segment,motif,127,165,39
Bd18_1,Segmento_S*,motif,283,303,21
Bd21_3,Bdhn10_E1,exon,1,303,303
Bd21_3,NLS_segment,motif,127,165,39
Bd21_3,Segmento_S*,motif,283,303,21
Bd29_1,Bdhn10_E1,exon,1,303,303
Bd29_1,NLS_segment,motif,127,165,39
Bd29_1,Segmento_S*,motif,283,303,21
Bd30_1,Bdhn10_E1,exon,1,303,303
Bd30_1,NLS_segment,motif,127,165,39
Bd30_1,Segmento_S*,motif,283,303,21
BdhnBdis10_ref,Bdhn10_E1,exon,1,303,303
BdhnBdis10_ref,NLS_segment,motif,127,165,39
BdhnBdis10_ref,Segmento_S*,motif,283,303,21
BdhnBsta10_ref,BdhnBsta10,exon,1,324,324
BdhnBsta10_ref,NLS_segment,motif,145,183,39
BdhnBsta10_ref,Segmento_S*,motif,304,324,21
BdTR1i,Bdhn10_E1,exon,1,303,303
BdTR1i,NLS_segment,motif,127,165,39
BdTR1i,Segmento_S*,motif,283,303,21
BdTR2B,Bdhn10_E1,exon,1,303,303
BdTR2B,NLS_segment,motif,127,165,39
BdTR2B,Segmento_S*,motif,283,303,21
BdTR2G,Bdhn10_E1,exon,1,303,303
BdTR2G,NLS_segment,motif,127,165,39
BdTR2G,Segmento_S*,motif,283,303,21
BdTR3C,Bdhn10_E1,exon,1,303,303
BdTR3C,NLS_segment,motif,127,165,39
BdTR3C,Segmento_S*,motif,283,303,21
BdTR5I,Bdhn10_E1,exon,1,303,303
BdTR5I,NLS_segment,motif,127,165,39
BdTR5I,Segmento_S*,motif,283,303,21
BdTR7a,Bdhn10_E1,exon,1,303,303
BdTR7a,NLS_segment,motif,127,165,39
BdTR7a,Segmento_S*,motif,283,303,21
BdTR8i,Bdhn10_E1,exon,1,303,303
BdTR8i,NLS_segment,motif,127,165,39
BdTR8i,Segmento_S*,motif,283,303,21
BdTR9K,Bdhn10_E1,exon,1,303,303
BdTR9K,NLS_segment,motif,127,165,39
BdTR9K,Segmento_S*,motif,283,303,21
BdTR10C,Bdhn10_E1,exon,1,303,303
BdTR10C,NLS_segment,motif,127,165,39
BdTR10C,Segmento_S*,motif,283,303,21
BdTR11A,Bdhn10_E1,exon,1,303,303
BdTR11A,NLS_segment,motif,127,165,39
BdTR11A,Segmento_S*,motif,283,303,21
BdTR11G,Bdhn10_E1,exon,1,303,303
BdTR11G,NLS_segment,motif,127,165,39
BdTR11G,Segmento_S*,motif,283,303,21
BdTR11I,Bdhn10_E1,exon,1,303,303
BdTR11I,NLS_segment,motif,127,165,39
BdTR11I,Segmento_S*,motif,283,303,21
BdTR12c,Bdhn10_E1,exon,1,303,303
BdTR12c,NLS_segment,motif,127,165,39
BdTR12c,Segmento_S*,motif,283,303,21
BdTR13a,Bdhn10_E1,exon,1,303,303
BdTR13a,NLS_segment,motif,127,165,39
BdTR13a,Segmento_S*,motif,283,303,21
BdTR13C,Bdhn10_E1,exon,1,303,303
BdTR13C,NLS_segment,motif,127,165,39
BdTR13C,Segmento_S*,motif,283,303,21
Bis1,Bdhn10_E1,exon,1,303,303
Bis1,NLS_segment,motif,127,165,39
Bis1,Segmento_S*,motif,283,303,21
Foz1,Bdhn10_E1,exon,1,303,303
Foz1,NLS_segment,motif,127,165,39
Foz1,Segmento_S*,motif,283,303,21
Gaz8,Bdhn10_E1,exon,1,303,303
Gaz8,NLS_segment,motif,127,165,39
Gaz8,Segmento_S*,motif,283,303,21
Jer1,Bdhn10_E1,exon,1,303,303
Jer1,NLS_segment,motif,127,165,39
Jer1,Segmento_S*,motif,283,303,21
Kah_1,Bdhn10_E1,exon,1,303,303
Kah_1,NLS_segment,motif,127,165,39
Kah_1,Segmento_S*,motif,283,303,21
Kah_5,Bdhn10_E1,exon,1,303,303
Kah_5,NLS_segment,motif,127,165,39
Kah_5,Segmento_S*,motif,283,303,21
Koz_1,Bdhn10_E1,exon,1,303,303
Koz_1,NLS_segment,motif,127,165,39
Koz_1,Segmento_S*,motif,283,303,21
Koz_3,Bdhn10_E1,exon,1,303,303
Koz_3,NLS_segment,motif,127,165,39
Koz_3,Segmento_S*,motif,283,303,21
Luc1,Bdhn10_E1,exon,1,303,303
Luc1,NLS_segment,motif,127,165,39
Luc1,Segmento_S*,motif,283,303,21
Mig3,Bdhn10_E1,exon,1,303,303
Mig3,NLS_segment,motif,127,165,39
Mig3,Segmento_S*,motif,283,303,21
Mon3,Bdhn10_E1,exon,1,303,303
Mon3,NLS_segment,motif,127,165,39
Mon3,Segmento_S*,motif,283,303,21
Mur1,Bdhn10_E1,exon,1,303,303
Mur1,NLS_segment,motif,127,165,39
Mur1,Segmento_S*,motif,283,303,21
Per1,Bdhn10_E1,exon,1,303,303
Per1,NLS_segment,motif,127,165,39
Per1,Segmento_S*,motif,283,303,21
RON2,Bdhn10_E1,exon,1,303,303
RON2,NLS_segment,motif,127,165,39
RON2,Segmento_S*,motif,283,303,21
S8iiC,Bdhn10_E1,exon,1,303,303
S8iiC,NLS_segment,motif,127,165,39
S8iiC,Segmento_S*,motif,283,303,21
Sig2,Bdhn10_E1,exon,1,303,303
Sig2,NLS_segment,motif,127,165,39
Sig2,Segmento_S*,motif,283,303,21
Tek_2,Bdhn10_E1,exon,1,303,303
Tek_2,NLS_segment,motif,127,165,39
Tek_2,Segmento_S*,motif,283,303,21
Tek_4,Bdhn10_E1,exon,1,303,303
Tek_4,NLS_segment,motif,127,165,39
Tek_4,Segmento_S*,motif,283,303,21
Uni2,Bdhn10_E1,exon,1,303,303
