Sequence Name,Name,Minimum,Maximum,Length
BdTR7a,CA,318,317,0
Bd29_1,CA,318,317,0
Tek_4,CA,318,317,0
Tek_2,CA,318,317,0
BdTR8i,CA,318,317,0
Bd1_1,CA,318,317,0
Mon3,CA,318,317,0
Arn1,CA,318,317,0
ABR8,CA,318,317,0
Bd21_3,CA,318,317,0
Bd18.1,CA,318,317,0
ABR2,CA,318,317,0
ABR4,CA,318,317,0
ABR5,CA,318,317,0
ABR6,CA,318,317,0
ABR7,CA,318,317,0
Adi_12,CA,318,317,0
Adi_2,CA,318,317,0
Bd2_3,CA,318,317,0
BdTR11A,CA,318,317,0
BdTR11G,CA,318,317,0
BdTR11I,CA,318,317,0
BdTR12c,CA,318,317,0
BdTR13a,CA,318,317,0
BdTR13C,CA,318,317,0
BdTR2G,CA,318,317,0
BdTR9K,CA,318,317,0
Bis1,CA,318,317,0
Jer1,CA,318,317,0
Kah_5,CA,318,317,0
Koz_1,CA,318,317,0
Mig3,CA,318,317,0
Mur1,CA,318,317,0
Sig2,CA,318,317,0
Uni2,CA,318,317,0
ABR3,CA,318,317,0
Adi_10,CA,318,317,0
Bd21.v3,CA,318,317,0
Bd3_1,CA,318,317,0
Bd30_1,CA,318,317,0
BdTR10C,CA,318,317,0
BdTR1i,CA,318,317,0
BdTR2B,CA,318,317,0
BdTR3C,CA,318,317,0
Foz1,CA,318,317,0
Kah_1,CA,318,317,0
Koz3,CA,318,317,0
Luc1,CA,318,317,0
Per1,CA,318,317,0
RON2,CA,318,317,0
S8iiC,CA,318,317,0
