Sequence Name,Name,Type,Minimum,Maximum,Length
BdhnBdis9,Bdhn9_E1,exon,1,453,453
BdhnBdis9,Bdhn9_E2,exon,454,681,228
BdhnBdis9,Segmento_K,motif,628,678,51
BdhnBdis9,Segmento_K*,motif,493,534,42
BdhnBdis9,Segmento_phi,motif,460,480,21
BdhnBdis9,Segmento_Y*,motif,13,33,21
BdhnBdis9,Segmento_Y1,motif,43,63,21
BdhnBdis9,Segmento_Y2,motif,73,93,21
BdhnBdis9,Segmento_S,motif,436,453,18
BdhnBhybD9,Bdhn9_E1,exon,1,453,453
BdhnBhybD9,Bdhn9_E2,exon,454,681,228
BdhnBhybD9,Segmento_K,motif,628,678,51
BdhnBhybD9,Segmento_K*,motif,493,534,42
BdhnBhybD9,Segmento_phi,motif,460,480,21
BdhnBhybD9,Segmento_Y1,motif,43,63,21
BdhnBhybD9,Segmento_Y2,motif,73,93,21
BdhnBhybD9,Segmento_Y*,motif,13,33,21
BdhnBhybD9,Segmento_S,motif,436,453,18
BdhnBhybS9,Bdhn9Bsta_E1,exon,1,393,393
BdhnBhybS9,BdhnBsta9_E2,exon,394,621,228
BdhnBhybS9,Segmento_K,motif,568,618,51
BdhnBhybS9,Segmento_K*,motif,436,477,42
BdhnBhybS9,Segmento_Y*,motif,13,33,21
BdhnBhybS9,Segmento_Y1,motif,43,63,21
BdhnBhybS9,Segmento_Y2,motif,73,93,21
BdhnBhybS9,Segmento_phi,motif,403,423,21
BdhnBhybS9,Segmento_S,motif,376,393,18
BdhnBsta9,Bdhn9Bsta_E1,exon,1,393,393
BdhnBsta9,BdhnBsta9_E2,exon,394,621,228
BdhnBsta9,Segmento_K,motif,568,618,51
BdhnBsta9,Segmento_K*,motif,436,477,42
BdhnBsta9,Segmento_Y*,motif,13,33,21
BdhnBsta9,Segmento_Y1,motif,43,63,21
BdhnBsta9,Segmento_Y2,motif,73,93,21
BdhnBsta9,Segmento_phi,motif,403,423,21
BdhnBsta9,Segmento_S,motif,376,393,18
BdhnBsyl9,Bdhn9_E1,exon,1,441,441
BdhnBsyl9,Bdhn9_E2,exon,442,669,228
BdhnBsyl9,Segmento_K,motif,616,666,51
BdhnBsyl9,Segmento_K*,motif,481,522,42
BdhnBsyl9,Segmento_phi,motif,448,468,21
BdhnBsyl9,Segmento_Y*,motif,13,33,21
BdhnBsyl9,Segmento_Y2,motif,73,93,21
BdhnBsyl9,Segmento_Y1,motif,43,63,21
BdhnBsyl9,Segmento_S,motif,424,441,18
DHNAtau8,Segmento_K2,motif,595,639,45
DHNAtau8,Segmento_K*,motif,490,531,42
DHNAtau8,Segmento_Y2,motif,40,63,24
DHNAtau8,Segmento_phi,motif,457,477,21
DHNAtau8,Segmento_Y2,motif,73,93,21
DHNAtau8,Segmento_S,motif,430,450,21
DHNAtau8,Segmento_Y*,motif,13,33,21
DHNOsat4,Segmento_K*,motif,493,534,42
DHNOsat4,Segmento_K2,motif,628,672,45
DHNOsat4,Segmento_phi,motif,463,483,21
DHNOsat4,Segmento_S,motif,436,456,21
DHNOsat4,Segmento_Y2,motif,76,96,21
DHNOsat4,Segmento_Y1,motif,46,66,21
DHNSbic5,Segmento_K*,motif,445,486,42
DHNSbic5,Segmento_phi,motif,409,429,21
DHNSbic5,Segmento_Y2,motif,43,63,21
DHNSbic5,Segmento_Y,motif,73,93,21
DHNSbic5,Segmento_Y*,motif,14,33,20
DHNSbic5,Segmento_S,motif,385,402,18
