Sequence Name,Name,Type,Minimum,Maximum,Length
BdhnBdis4,Bdhn4_E2,exon,76,324,249
BdhnBdis4,Bdhn4_E1,exon,1,76,76
BdhnBdis4,Segmento_K1,motif,103,147,45
BdhnBdis4,Segmento_K2,motif,271,315,45
BdhnBdis4,Segmento_phi,motif,79,99,21
BdhnBdis4,Segmento_S,motif,61,75,15
BdhnBdis5,Bdhn5_E2,exon,187,432,246
BdhnBdis5,Bdhn5_E1,exon,1,187,187
BdhnBdis5,Segmento_K1,motif,214,258,45
BdhnBdis5,Segmento_K2,motif,379,423,45
BdhnBdis5,Segmento_phi,motif,190,210,21
BdhnBdis5,Segmento_S,motif,169,186,18
BdhnBhybD5,Bdhn5_E2,exon,187,432,246
BdhnBhybD5,Bdhn5_E1,exon,1,187,187
BdhnBhybD5,Segmento_K1,motif,214,258,45
BdhnBhybD5,Segmento_K2,motif,379,423,45
BdhnBhybD5,Segmento_phi,motif,190,210,21
BdhnBhybD5,Segmento_S,motif,169,186,18
BdhnBhybS5,BdhnBsta5,exon,172,399,228
BdhnBhybS5,BdhnBsta5,exon,1,171,171
BdhnBhybS5,Segmento_K1,motif,199,243,45
BdhnBhybS5,Segmento_K2,motif,346,390,45
BdhnBhybS5,Segmento_phi,motif,175,195,21
BdhnBhybS5,Segmento_Y,motif,43,63,21
BdhnBhybS5,Segmento_S,motif,154,171,18
BdhnBsta5,BdhnBsta5,exon,172,399,228
BdhnBsta5,BdhnBsta5,exon,1,171,171
BdhnBsta5,Segmento_K2,motif,346,390,45
BdhnBsta5,Segmento_K1,motif,202,243,42
BdhnBsta5,Segmento_phi,motif,175,195,21
BdhnBsta5,Segmento_Y,motif,43,63,21
BdhnBsta5,Segmento_S,motif,154,171,18
BdhnBsyl5,Bdhn5_E1,exon,1,193,193
BdhnBsyl5,Segmento_K2,motif,385,429,45
BdhnBsyl5,Segmento_K1,motif,226,270,45
BdhnBsyl5,Segmento_S,motif,178,198,21
BdhnBsyl5,Segmento_phi,motif,202,222,21
DHNAtau2,Segmento_K1,motif,214,258,45
DHNAtau2,Segmento_K2,motif,346,390,45
DHNAtau2,Segmento_phi,motif,190,210,21
DHNAtau2,Segmento_S,motif,169,186,18
DHNAtau9,Segmento_K1,motif,235,279,45
DHNAtau9,Segmento_K2,motif,376,420,45
DHNAtau9,Segmento_phi,motif,211,231,21
DHNAtau9,Segmento_S,motif,190,207,18
DHNHvul1a,Segmento_K1,motif,232,276,45
DHNHvul1a,Segmento_K2,motif,364,408,45
DHNHvul1a,Segmento_phi,motif,208,228,21
DHNHvul1a,Segmento_S,motif,187,204,18
DHNHvul1b,Segmento_K1,motif,232,276,45
DHNHvul1b,Segmento_K2,motif,364,408,45
DHNHvul1b,Segmento_phi,motif,208,228,21
DHNHvul1b,Segmento_S,motif,187,204,18
DHNHvul2a,Segmento_K1,motif,235,279,45
DHNHvul2a,Segmento_K2,motif,370,414,45
DHNHvul2a,Segmento_phi,motif,211,231,21
DHNHvul2a,Segmento_S,motif,190,207,18
DHNHvul2b,Segmento_K1,motif,235,279,45
DHNHvul2b,Segmento_K2,motif,370,414,45
DHNHvul2b,Segmento_phi,motif,211,231,21
DHNHvul2b,Segmento_S,motif,190,207,18
DHNOsat3a,Segmento_K2,motif,442,486,45
DHNOsat3a,Segmento_K1,motif,268,309,42
DHNOsat3a,Segmento_Y,motif,40,63,24
DHNOsat3a,Segmento_phi,motif,241,264,24
DHNOsat3a,Segmento_S,motif,217,234,18
DHNOsat3b,Segmento_K1,motif,295,339,45
DHNOsat3b,Segmento_K2,motif,466,510,45
DHNOsat3b,Segmento_Y,motif,37,60,24
DHNOsat3b,Segmento_S,motif,250,267,18
DHNSbic3,Segmento_K1,motif,259,303,45
DHNSbic3,Segmento_K2,motif,406,450,45
DHNSbic3,Segmento_Y1,motif,49,69,21
DHNSbic3,Segmento_phi,motif,235,255,21
DHNSbic3,Segmento_S,motif,214,231,18
